mode,tag,seed,train_datasets,test_dataset,n_train,n_test,attn_proxy_text,attn_proxy_egemap,attn_proxy_deep,accuracy,f1_weighted,f1_macro,auc_roc,brier_score,mcc,sensitivity,specificity,precision_dem,precision_ctrl
acoustic_hubert,A->P,42,['adress'],pitt,138,495,,,,0.5353535353535354,0.4722085859676759,0.4876790985672115,0.6773938274861514,0.3151878416538238,0.2008111397843687,0.2095588235294117,0.9327354260089686,0.7916666666666666,0.491725768321513
acoustic_hubert,A->P,43,['adress'],pitt,138,495,,,,0.4626262626262626,0.3522709064075288,0.3753795066413662,0.5671986283302559,0.2618676424026489,0.017069585796947,0.0808823529411764,0.9282511210762332,0.5789473684210527,0.4529540481400437
acoustic_hubert,A->P,44,['adress'],pitt,138,495,,,,0.4707070707070707,0.36928394488399,0.3910810201705292,0.6353781983645476,0.3315699398517608,0.0402665956289994,0.0992647058823529,0.9237668161434978,0.6136363636363636,0.4567627494456763
interaction_only,A->P,42,['adress'],pitt,138,495,,,,0.6242424242424243,0.5906926406926406,0.600362872421696,0.7958816934845686,0.3361693918704986,0.3809790314629111,0.3455882352941176,0.9641255605381166,0.9215686274509804,0.5470737913486005
interaction_only,A->P,43,['adress'],pitt,138,495,,,,0.4909090909090909,0.3978290366350068,0.4181902985074627,0.681292864679504,0.2687002122402191,0.1046141984932215,0.125,0.937219730941704,0.7083333333333334,0.4675615212527964
interaction_only,A->P,44,['adress'],pitt,138,495,,,,0.5575757575757576,0.4950791276751812,0.5101645210994583,0.7705503165391717,0.3241978883743286,0.2706238068334386,0.2242647058823529,0.9641255605381166,0.8840579710144928,0.5046948356807511
fusion_gated,A->P,42,['adress'],pitt,138,495,0.9286107420921326,0.0044286930933594,0.0669603422284126,0.6787878787878788,0.6654710881461418,0.6706090624882293,0.8061444869427591,0.2788285315036773,0.4400497937609356,0.4742647058823529,0.9282511210762332,0.8896551724137931,0.5914285714285714
fusion_gated,A->P,43,['adress'],pitt,138,495,0.3065721094608307,0.0024096199776977,0.6910184621810913,0.6868686868686869,0.6754944847931451,0.6801005666253893,0.8009677525718808,0.3024891018867492,0.4499812112955006,0.4926470588235294,0.9237668161434978,0.8874172185430463,0.5988372093023255
fusion_gated,A->P,44,['adress'],pitt,138,495,0.9441885352134703,0.0078898379579186,0.0479216426610946,0.6868686868686869,0.6733264546989011,0.6784704033525406,0.7916117119493536,0.2781552970409393,0.4606592601586652,0.4779411764705882,0.9417040358744396,0.9090909090909092,0.5965909090909091
fusion_attn,A->P,42,['adress'],pitt,138,495,0.5901045203208923,0.1963131874799728,0.2135824412107467,0.7090909090909091,0.7018210695399498,0.7051816557474687,0.8122197309417041,0.2678861618041992,0.4797607517789226,0.5404411764705882,0.9147982062780268,0.8855421686746988,0.6200607902735562
